epoch,train_loss,train_accuracy,model_internal,model,fold,history_file
3,0.4234117945229135,0.995609756097561,MobileNetV3_Small,MobileNetV3-Small,1,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_01/history.csv
4,0.4242338518980073,0.9946341463414634,MobileNetV3_Small,MobileNetV3-Small,1,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_01/history.csv
5,0.4189503713933433,0.9980487804878048,MobileNetV3_Small,MobileNetV3-Small,1,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_01/history.csv
6,0.414695166145883,0.9980487804878048,MobileNetV3_Small,MobileNetV3-Small,1,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_01/history.csv
7,0.408630265375463,0.9990243902439024,MobileNetV3_Small,MobileNetV3-Small,1,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_01/history.csv
8,0.40695443130121,0.9970731707317072,MobileNetV3_Small,MobileNetV3-Small,1,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_01/history.csv
9,0.4102270535724919,0.9970731707317072,MobileNetV3_Small,MobileNetV3-Small,1,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_01/history.csv
1,0.6668298080490856,0.8941463414634147,MobileNetV3_Small,MobileNetV3-Small,2,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
2,0.4405387925520176,0.9917073170731708,MobileNetV3_Small,MobileNetV3-Small,2,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
3,0.4374361280115639,0.9921951219512196,MobileNetV3_Small,MobileNetV3-Small,2,/home/bt/Documents/Po/chili_fruit/dataset/Chili Growth Stage Original Dataset (1)/Chili Growth Stage Original Dataset/results/baselines/MobileNetV3_Small/fold_02/history.csv
